,text,user
118,RT @Tentoads4truth: @realDonaldTrump @TuckerCarlson Charles Koch Continues to Bankroll the Tucker Carlson-Founded Daily Caller Two of Charl…,ImranUk7
119,@RealDonaldTrump has been very careless with classified information. Not fit! https://t.co/LGqheRArH0,LibelTrump
120,@realdonaldtrump 3716D190 :参戦ID 参加者募集！ Lv150 アニマ・アニムス・コア https://t.co/TQ8LMVXesi,AlliesBlink
121,@realdonaldtrump https://t.co/ibLMGqOBei,tanukielodojin
122,@realdonaldtrump 71ABCEEE :参戦ID 参加者募集！ Lv120 ホルス https://t.co/fodye33TMV,AlliesBlink
123,@realdonaldtrump A0B4FDB0 :参戦ID 参加者募集！ Lv120 ホルス https://t.co/fodye33TMV,AlliesBlink
124,@realDonaldTrump Release you Tax information.,jmcnama3
125,@realDonaldTrump @POTUS are you a furry,trump_furry
126,RT @ez1weeze1: @realDonaldTrump.  #HAPPYFUCKTRUMPDAY https://t.co/rgbeOz15N4,JamieON94964661
127,@realDonaldTrump @POTUS what's your fursona,trump_furry
128,RT @ez1weeze1: @realDonaldTrump.  #HAPPYFUCKTRUMPDAY https://t.co/rgbeOz15N4,knicknamej
129,RT @ez1weeze1: @realDonaldTrump.  #HAPPYFUCKTRUMPDAY https://t.co/rgbeOz15N4,uflo5
130,"@RealDonaldTrump #lie : 'There is no reason for these massive, deadly and costly forest fires in California except… https://t.co/TXn0JAAnx4",SwerianBot
131,@realdonaldtrump E5412E59 :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/oP3YGrHBJ9,Element_Creator
132,@realDonaldTrump 6D5156CF :参戦ID 参加者募集！ Lv120 ホルス https://t.co/veiAF4OoxM,Tsugu95832366
133,@realdonaldtrump #ファミマ春のおむすび祭り 開催中❤️ #ファミマ @famima_now 👇のボタンからツイートで無料引換クーポンが抽選で合計5万人に当たる🎁結果はその場ですぐわかる❗ https://t.co/xq2FvEWJ3f,TRBGN_KN
134,RT @MxZvn: @realDonaldTrump #MAGA = Make America GREEN Again! #cannabis #medicalmarijuana #Hemp #Grow #HealthForAll #green #Sustainability…,Bob_Stinson1234
135,@realdonaldtrump 狙い目 全員きてほしい くるかな？ https://t.co/shRqu8bDSZ,KO_RIUMAI
136,@realdonaldtrump 3D14A314 :参戦ID 参加者募集！ Lv150 シュヴァリエ・マリス https://t.co/Rnq9lD9jX4,Lolbob96
137,@RealDonaldTrump #lie : 'Many car companies are now building and expanding plants in the United States—something we… https://t.co/0HNTkCGQMz,SwerianBot
138,RT @TinaMarie777777: @realDonaldTrump That's their plan: Destroy America. The 16 year plan to destroy America: https://t.co/eJkXW0SbEH,Nueva_Hispania
139,@realDonaldTrump 新品フルオート 987C91FD :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/g7D7bglPmH,WTSN_Swiftlet
140,RT @fwdcrocblu: @realDonaldTrump https://t.co/Cap9oHasFI,fwdcrocblu
141,@realDonaldTrump BIG QUESTION! do you like lasanga,creeperdude396
142,RT @SavannahSaint: @realDonaldTrump A good commander is benevolent and unconcerned with fame. - Sun Tzu,Tatylady82
143,@RealDonaldTrump lies awake at night terrified of Muslim families he hasn't discriminated against yet https://t.co/LGqheRArH0,LibelTrump
144,RT @pablo_honey1: @realDonaldTrump AP FACT CHECK: The energy boom didn’t start with Trump https://t.co/qCC0mkKLXk,zunderwhelmed
145,RT @dialogician: @realDonaldTrump @OANN America ‘s march to energy independence slowed under Trump: https://t.co/rBLwJmcqRf  Obama presided…,zunderwhelmed
146,@realDonaldTrump このままだと変にプライドだけ高いバカになっちゃう！→これで勉強するんじゃなくてプライド削ろうとしてんだからもう俺はダメだね,D4CPFC
147,@realDonaldTrump @POTUS Who are you? #youtryandfail,youtryandfail
148,"@RealDonaldTrump #joke : 'What do you call a pea-brained, soulless, big-mouthed dinosaur with a really big butt? T-… https://t.co/r7EMt1Nu10",SwerianBot
149,@realdonaldtrump F84A3C32 :参戦ID 参加者募集！ Lv200 ガレヲン https://t.co/RQdxS04CT6,tiga1023325
150,@realDonaldTrump 7D50333D :参戦ID 参加者募集！ Lv150 アニマ・アニムス・コア https://t.co/N2L39Rsz2I,273tk
151,@RealDonaldTrump wants to undermine faith in civil society https://t.co/LGqheRArH0,LibelTrump
152,"RT @ugadaknight: @realDonaldTrump Mr. President, We are STILL with you! Keep up the good work! Don't back down! Kick them in the shins! (fi…",DrSueDVM
153,@realdonaldtrump  7DC791CA :参戦ID 参加者募集！ Lv200 フェディエル https://t.co/JRZ5siW1cE,wally23409263
154,@realdonaldtrump 7DC791CA :参戦ID 参加者募集！ Lv200 フェディエル https://t.co/JRZ5siW1cE,wally23409263
155,@RealDonaldTrump told me that he thinks the military is stupid @FoxNews,LibelTrump
156,@realDonaldTrump @0724_NYAM  DMに来て kurumi__o__o氏のことと、普通に色々話し合おう tosツイが使えないからトランプ大統領なのは許して,YozoraKurage
157,@RealDonaldTrump wants more women in the workplace so he can grope them #POTUS,LibelTrump
158,"@RealDonaldTrump told me that ""Veterans were just too dumb to dodge the draft, like I did."" #MAGA",LibelTrump
159,@realdonaldtrump E30614BC :参戦ID 参加者募集！ Lv150 フロネシス https://t.co/S1makDatUT,tiga1023325
160,@realdonaldtrump  DM待ってます😖  #画像買取 #画像販売 #売り子 #買い手 #画像買います #PayPay #アマギフ,po_pmp
161,@realdonaldtrump https://t.co/AcIDRWevYC,nng_012utakata
162,@realDonaldTrump ぬおおおおんがんばるぬおおおん,_n___c
163,@RealDonaldTrump honestly forgot that the case was still in court @MSNBC,LibelTrump
164,@realdonaldtrump は、はわあ〜〜〜❗️❗️❗️❗️❗️❗️❗️❗️❗️❗️❗️ https://t.co/lR3iKjzSZa,KO_RIUMAI
165,@realdonaldtrump C952467F :参戦ID 参加者募集！ Lv150 プロトバハムート https://t.co/9hfg0vS3nH,tiga1023325
166,@realDonaldTrump 今思えばクソデカSAN値チェックで失敗したとかでもない限りそんくらい受け入れろやボケカスの気持ちだよなぁトランプ。,Call_of_HiRoShi
167,@realdonaldtrump 38ECDBED :参戦ID 参加者募集！ Lv120 ホルス https://t.co/0H0CukIcb2,tiga1023325
168,@realdonaldtrump DBBF96ED :参戦ID 参加者募集！ Lv120 ホルス https://t.co/0H0CukIcb2,tiga1023325
169,@realDonaldTrump @POTUS Is the US great yet?,IsItGreatYetBot
170,@realDonaldTrump @POTUS Do you remember it? #youtryandfail,youtryandfail
171,"@RealDonaldTrump gets very upset when people point out that he can't read, per source #NEWS",LibelTrump
172,@realDonaldTrump You lost the popular vote by more than 2.8 million. Sad!,2point8million
173,@realDonaldTrump @POTUS Is America great again?,IsItGreatYetBot
174,@RealDonaldTrump #joke : 'Donald Trump continues to get hot and bothered about a steady stream of leaks from the Wh… https://t.co/bHIA5vpA79,SwerianBot
175,@realDonaldTrump スマホRPGは今これをやってるよ。今はこのイベントが開催中！　→　https://t.co/cTmOFJBlyT https://t.co/lDDQJvciuW,d78963d
176,@realdonaldtrump ほい4勢、口”ﾉアプレイのウ'ﾌライナ侵ｴ攵やってるでしょ わからなくもないよ うんうんわたしもやった,KO_RIUMAI
177,@realDonaldTrump  なんで結婚できたか教えてくれんか、トランプ。あんさんの嫁はん美人すぎて羨ましい。,Call_of_HiRoShi
178,"@RealDonaldTrump is flat broke, according to my sources @FoxNews",LibelTrump
179,@realDonaldTrump is a fascist,virus50030024
